Id,date,total_sleep_minutes
4020332650,2016-03-31,281.0
4020332650,2016-04-01,474.0
4020332650,2016-04-02,518.0
4020332650,2016-04-03,418.0
4020332650,2016-04-04,496.0
4020332650,2016-04-05,496.0
4020332650,2016-04-06,276.0
4020332650,2016-04-07,276.0
4020332650,2016-04-08,276.0
4020332650,2016-04-09,276.0
4020332650,2016-04-10,74.0
4020332650,2016-04-11,642.0
4020332650,2016-04-12,401.0
4020332650,2016-04-13,401.0
4020332650,2016-04-14,401.0
4020332650,2016-04-15,401.0
4020332650,2016-04-16,77.0
4020332650,2016-04-17,77.0
4020332650,2016-04-18,77.0
4020332650,2016-04-19,77.0
4020332650,2016-04-20,77.0
4020332650,2016-04-21,77.0
4020332650,2016-04-22,77.0
4020332650,2016-04-23,77.0
4020332650,2016-04-24,77.0
4020332650,2016-04-25,77.0
4020332650,2016-04-26,77.0
4020332650,2016-04-27,77.0
4020332650,2016-04-28,77.0
4020332650,2016-04-29,77.0
4020332650,2016-04-30,77.0
4020332650,2016-05-01,77.0
4020332650,2016-05-02,59.0
4020332650,2016-05-03,322.0
4020332650,2016-05-04,591.0
4020332650,2016-05-05,274.0
4020332650,2016-05-06,437.0
4020332650,2016-05-07,437.0
4020332650,2016-05-08,458.0
4020332650,2016-05-09,43.0
4020332650,2016-05-10,521.0
4020332650,2016-05-11,521.0
4020332650,2016-05-12,521.0
4319703577,2016-03-11,109.0
4319703577,2016-03-12,534.0
4319703577,2016-03-13,388.0
4319703577,2016-03-14,108.0
4319703577,2016-03-15,523.0
4319703577,2016-03-16,568.0
4319703577,2016-03-17,563.0
4319703577,2016-03-18,526.0
4319703577,2016-03-19,544.0
4319703577,2016-03-20,535.0
4319703577,2016-03-21,508.0
4319703577,2016-03-22,65.0
4319703577,2016-03-23,531.0
4319703577,2016-03-24,447.0
4319703577,2016-03-25,601.0
4319703577,2016-03-26,546.0
4319703577,2016-03-27,651.0
4319703577,2016-03-28,555.0
4319703577,2016-03-29,590.0
4319703577,2016-03-30,504.0
4319703577,2016-03-31,57.0
4319703577,2016-04-01,502.0
4319703577,2016-04-02,557.0
4319703577,2016-04-03,598.0
4319703577,2016-04-04,544.0
4319703577,2016-04-05,589.0
4319703577,2016-04-06,1030.0
4319703577,2016-04-07,467.0
4319703577,2016-04-08,467.0
4319703577,2016-04-09,467.0
4319703577,2016-04-10,467.0
4319703577,2016-04-11,467.0
4319703577,2016-04-12,467.0
